Item ID,  Price,  Quantity,  Purchase Date
e4f8b741-0ca4-4a08-b49b-6561a3a674ba,4.0,4.0,2025-07-25
3d4da550-1d8f-477a-b63a-06a90dac7ff1,10.99,1.0,2025-08-27
3d4da550-1d8f-477a-b63a-06a90dac7ff1,20.0,57.0,2025-08-27
28003a1e-4dd7-4ea3-84ff-540917ea5000,20.0,1.0,2025-08-27
ea1553a7-0251-4238-9a66-64285561e492,5.99,1.0,2025-08-31
259314ba-7a55-467c-80db-4ed0bd94b2a8,8.99,12.0,2025-08-27
45dbf58f-548d-4dfd-8e98-40b712e9e37b,13.0,1.0,2025-08-31
d9792df3-9621-4314-8afd-1cfc4384c523,4.0,4.0,2025-07-25
3580bba4-4cca-4712-9446-5ae7e3c8aeeb,8.8,1.0,2025-08-27
fb20436b-f97f-4307-9dce-f72f6a5220ef,5.99,1.0,2025-08-30
